"Points:0","Points:1","Points:2"
-0.12974,-0.038637,-0.050337
-0.12534,-0.035723,-0.013099
-0.1102,-0.0016279,-0.0018646
-0.10181,-0.028796,-0.027868
-0.12375,-0.0040955,-0.0099595
-0.12235,-0.011199,-0.0093723
-0.12419,-0.060216,-0.018822
-0.11321,-0.059226,-0.0017216
-0.13712,-0.049895,-0.039356
-0.12827,-0.063658,-0.011885
-0.13491,-0.045072,-0.045676
-0.13204,-0.032384,-0.027626
-0.10942,0.00035981,-0.00045964
-0.11129,-0.036931,-0.0423
-0.11833,-0.025778,-0.0082656
-0.12642,-0.037702,-0.049986
-0.11642,-0.00039215,0.0006873
-0.1238,-0.0049721,-0.01959
-0.12182,-0.0074543,-0.037974
-0.13165,-0.0080833,-0.016374
-0.13146,-0.012201,-0.012202
-0.09819,-0.047107,-0.013061
-0.11319,-0.0024216,-0.011676
-0.1165,0.00015489,-0.00095206
-0.1242,-0.00079923,0.00040339
-0.11413,-0.011595,-0.0076678
-0.12149,-0.030602,-0.032507
-0.12767,-0.0056951,-0.025544
-0.13259,-0.028762,-0.022183
-0.10047,-0.0007958,-0.024062
-0.11181,-0.020116,-0.052695
-0.13028,-0.026377,-0.0096173
-0.12004,-0.0056191,-0.052123
-0.10007,-0.044476,-0.020566
-0.12954,-0.0084605,-0.034792
-0.12523,-0.031502,-0.024375
-0.13056,-0.010083,-0.052297
-0.11533,-0.0037569,-0.058445
-0.12252,-0.03151,-0.030054
-0.13735,-0.053651,-0.011176
-0.13004,-0.017665,-0.062227
-0.10551,-0.042949,-0.020361
-0.13288,-0.023359,-0.014073
-0.13284,-0.0068758,-0.0019202
-0.11409,-0.016446,-0.0040989
-0.13281,-0.013681,-0.027575
-0.11632,-0.004651,-0.048436
-0.11151,-0.0016171,-0.015099
-0.1151,-0.0014787,-0.0018581
-0.12305,-0.010301,-0.056998
-0.12349,-0.032741,-0.051155
-0.12848,-0.034047,-0.0043987
-0.12251,-0.027395,-0.023981
-0.13281,-0.032918,-0.024055
-0.10206,-0.011077,-0.0075992
-0.13629,-0.0034472,-0.038086
-0.13656,-0.0072532,-0.052811
-0.11544,-0.029768,-0.013972
-0.13867,-0.054468,-0.021843
-0.12873,-0.025998,-0.0034287
-0.1206,-0.015704,-0.055989
-0.11379,-0.042391,-0.028267
-0.12302,-0.00041499,0.0010753
-0.12027,-0.0060628,-0.0046408
-0.12415,-0.028238,-0.026255
-0.11372,-0.0016501,-0.018271
-0.12094,-0.010507,-0.033513
-0.13424,-0.058324,-0.029629
-0.12722,-0.0044208,-0.0028965
-0.12466,-0.0044635,-0.00098955
-0.12752,-0.0032457,-0.016929
-0.1311,-0.030758,-0.00071468
-0.099865,-0.040162,-0.023231
-0.14112,-0.031549,-0.057423
-0.12485,-0.010314,-0.019543
-0.1128,-0.0029075,-0.0044275
-0.11507,-0.0040218,-0.0055186
-0.12615,-0.012402,-0.015259
-0.1388,-0.00024712,-0.068123
-0.12943,-0.0017261,-0.039854
-0.11634,-0.00040447,-0.035815
-0.10113,-0.0032016,-0.0026067
-0.13557,-0.036526,-0.024685
-0.13866,-0.044409,-0.030814
-0.13022,-0.038949,-0.0056839
-0.1024,-0.004473,-0.0029085
-0.13722,-0.034404,-0.044593
-0.12263,-0.042548,-0.035534
-0.10849,0.00050231,-0.0034695
-0.14394,-0.019441,-0.066421
-0.10246,-0.011554,-0.0072817
-0.12758,-0.0066933,-0.014127
-0.13234,-0.0048881,-0.015199
-0.10217,-0.00060812,-0.052362
-0.13024,-0.05214,-0.028565
-0.12563,-0.0055299,-0.03412
-0.11935,-0.018712,-0.0045102
-0.13269,-0.016511,-0.051819
-0.10011,-0.0098796,-0.00079132
-0.11747,-0.049331,-0.020145
-0.13825,-0.0071014,-0.066487
-0.13351,-0.012916,-0.014914
-0.11899,-0.011896,-0.0072574
-0.13781,-0.033144,-0.024342
-0.11564,-0.010408,-0.033215
-0.12452,-0.012718,-0.039587
-0.14006,-0.038683,-0.036311
-0.13189,-0.0020165,-0.010064
-0.12257,-0.015396,-0.024329
-0.10416,-0.0023709,-0.0048655
-0.10563,-0.027979,-0.034761
-0.1417,-0.058083,-0.01624
-0.13029,-0.013749,-0.037108
-0.11646,-0.012675,-0.016582
-0.13068,-0.0047839,-0.0042627
-0.10081,-0.030621,-0.0074346
-0.1353,-0.033667,-0.020045
-0.13789,-0.0060763,-0.0097599
-0.11927,-0.024005,-0.033249
-0.12648,-0.015093,-0.017388
-0.13642,-0.035773,-0.051623
-0.1166,-0.0061738,-0.005255
-0.13093,-0.0015998,-0.0058869
-0.10202,-0.026565,-0.045647
-0.13626,-0.057187,-0.031079
-0.13747,-0.0056164,-0.030856
-0.10503,-0.013617,-0.026183
-0.12699,-0.020293,-0.014145
-0.1261,-0.0011201,-0.0018634
-0.10895,-0.02481,-0.049592
-0.13345,-0.049345,-0.01772
-0.13047,-0.0012096,-0.015275
-0.11565,-0.027598,-0.0076973
-0.14081,-0.050058,-0.039001
-0.14067,-0.054971,-0.013758
-0.12194,-0.011992,-0.013007
-0.13379,-0.055907,-0.0071617
-0.12902,-0.033861,-0.026421
-0.12656,-0.034863,-0.051833
-0.13744,-0.0011241,-0.0060494
-0.1168,-0.0014394,-0.034918
-0.12564,-0.00072413,-0.029911
-0.13691,-0.060703,-0.028965
-0.108,-0.0061222,-0.052726
-0.14573,-0.062342,-0.014499
-0.13976,-0.017792,-0.022226
-0.13719,-0.051716,-0.036695
